"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 16 18:06:38 GMT 2025","Mon Jun 16 18:06:40 GMT 2025","1569","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Mon Jun 16 18:06:28 GMT 2025","Mon Jun 16 18:06:30 GMT 2025","1665","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Jun 16 18:06:31 GMT 2025","Mon Jun 16 18:06:32 GMT 2025","1648","LMS system","Authentication","Registration","","","Registration with correct login, email and password",""
"passed","Mon Jun 16 18:06:29 GMT 2025","Mon Jun 16 18:06:30 GMT 2025","1378","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Mon Jun 16 18:06:34 GMT 2025","Mon Jun 16 18:06:36 GMT 2025","2572","LMS system","Courses","Courses","","","Create course",""
"passed","Mon Jun 16 18:06:37 GMT 2025","Mon Jun 16 18:06:37 GMT 2025","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Mon Jun 16 18:06:37 GMT 2025","Mon Jun 16 18:06:37 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
"passed","Mon Jun 16 18:06:24 GMT 2025","Mon Jun 16 18:06:26 GMT 2025","2111","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Jun 16 18:06:27 GMT 2025","Mon Jun 16 18:06:29 GMT 2025","1747","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Jun 16 18:06:24 GMT 2025","Mon Jun 16 18:06:28 GMT 2025","3429","LMS system","Authentication","Authorization","","","User login with correct email or password",""
"passed","Mon Jun 16 18:06:37 GMT 2025","Mon Jun 16 18:06:37 GMT 2025","0","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Mon Jun 16 18:06:37 GMT 2025","Mon Jun 16 18:06:37 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_logout",""
"passed","Mon Jun 16 18:06:37 GMT 2025","Mon Jun 16 18:06:37 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
"passed","Mon Jun 16 18:06:37 GMT 2025","Mon Jun 16 18:06:37 GMT 2025","0","tests.pytest","test_markers","","","","test_critical_login",""
"broken","Mon Jun 16 18:06:32 GMT 2025","Mon Jun 16 18:06:33 GMT 2025","1590","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Mon Jun 16 18:06:34 GMT 2025","Mon Jun 16 18:06:38 GMT 2025","3513","LMS system","Courses","Courses","","","Edit course",""
